"&hyphen;"			"-",
"&angmsdaa;"				"&#x029A8;",
"&angmsdab;"				"&#x029A9;",
"&angmsdac;"				"&#x029AA;",
"&angmsdad;"				"&#x029AB;",
"&angmsdae;"				"&#x029AC;",
"&angmsdaf;"				"&#x029AD;",
"&angmsdag;"				"&#x029AE;",
"&angmsdah;"				"&#x029AF;",
"&angrtvb;"				"&#x0299D;&#x0FE00;",
"&angrtvbd;"				"&#x0299D;",
"&angsph;"				"&#x02222;",
"&angst;"				"&#x0212B;",
"&angzarr;"				"&#x0237C;",
"&Aopf;"				"&#x1D538;",
"&aopf;"				"&#x1D552;",
"&apacir;"				"&#x02A6F;",
"&ape;"				"&#x0224A;",
"&apid;"				"&#x0224B;",
"&ascr;"				"&#x1D4B6;",
"&Ascr;"				"&#x1D49C;",
"&asymp;"				"&#x0224D;",
"&awconint;"				"&#x02233;",
"&awint;"				"&#x02A11;",
"&Barv;"				"&#x02AE7;",
"&barvee;"				"&#x022BD;",
"&Barwed;"				"&#x02306;",
"&barwed;"				"&#x022BC;",
"&bemptyv;"				"&#x029B0;",
"&bensen;"				"<:Advent3B2:missing>",
"&bensena;"				"<:Advent3B2:missing>",
"&bensenb;"				"<:Advent3B2:missing>",
"&bensenc;"				"<:Advent3B2:missing>",
"&bensend;"				"<:Advent3B2:missing>",
"&bensene;"				"<:Advent3B2:missing>",
"&bensenf;"				"<:Advent3B2:missing>",
"&benseng;"				"<:Advent3B2:missing>",
"&bensenh;"				"<:Advent3B2:missing>",
"&benseni;"				"<:Advent3B2:missing>",
"&bensenj;"				"<:Advent3B2:missing>",
"&bensenk;"				"<:Advent3B2:missing>",
"&bensenl;"				"<:Advent3B2:missing>",
"&bensenm;"				"<:Advent3B2:missing>",
"&bensenn;"				"<:Advent3B2:missing>",
"&benseno;"				"<:Advent3B2:missing>",
"&bensenp;"				"<:Advent3B2:missing>",
"&bensenq;"				"<:Advent3B2:missing>",
"&bepsi;"				"&#x003F6;",
"&Bernoullis;"				"&#x0212C;",
"&beth;"				"&#x02136;",
"&between;"				"&#x0226C;",
"&Bfr;"				"&#x1D505;",
"&bfr;"				"&#x1D51F;",
"&bigcap;"				"&#x022C2;",
"&bigcirc;"				"&#x025EF;",
"&bigcup;"				"&#x022C3;",
"&bigodot;"				"&#x02A00;",
"&bigoplus;"				"&#x02A01;",
"&bigotimes;"				"&#x02A02;",
"&bigsqcup;"				"&#x02A06;",
"&bigtriangledown;"				"&#x025BD;",
"&bigtriangleup;"				"&#x025B3;",
"&biguplus;"				"&#x02A04;",
"&bigvee;"				"&#x022C1;",
"&bigwedge;"				"&#x022C0;",
"&bkarow;"				"&#x0290D;",
"&blacklozenge;"				"&#x029EB;",
"&blacktriangle;"				"&#x025B4;",
"&blacktriangledown;"				"&#x025BE;",
"&blacktriangleleft;"				"&#x025C2;",
"&blacktriangleright;"				"&#x025B8;",
"&blank;"				"&#x02423;",
"&bne;"				"&#x0003D;&#x020E5;",
"&bnequiv;"				"&#x02261;&#x020E5;",
"&bNot;"				"&#x02AED;",
"&bopf;"				"&#x1D553;",
"&Bopf;"				"&#x1D539;",
"&bot;"				"&#x022A5;",
"&bowtie;"				"&#x022C8;",
"&boxbox;"				"&#x029C9;",
"&boxminus;"				"&#x0229F;",
"&boxplus;"				"&#x0229E;",
"&boxtimes;"				"&#x022A0;",
"&bprime;"				"&#x02035;",
"&Breve;"				"&#x002D8;",
"&bscr;"				"&#x1D4B7;",
"&Bscr;"				"&#x0212C;",
"&bsemi;"				"&#x0204F;",
"&bsime;"				"&#x022CD;",
"&bsolb;"				"&#x029C5;",
"&bullet;"				"&#x02022;",
"&bump;"				"&#x0224E;",
"&bumpE;"				"&#x02AAE;",
"&bumpe;"				"&#x0224F;",
"&Bumpeq;"				"&#x0224E;",
"&bumpeq;"				"&#x0224F;",
"&Cap;"				"&#x022D2;",
"&capand;"				"&#x02A44;",
"&capbrcup;"				"&#x02A49;",
"&capcap;"				"&#x02A4B;",
"&capcup;"				"&#x02A47;",
"&capdot;"				"&#x02A40;",
"&caps;"				"&#x02229;&#x0FE00;",
"&caret;"				"&#x02041;",
"&ccaps;"				"&#x02A4D;",
"&Cconint;"				"&#x02230;",
"&ccups;"				"&#x02A4C;",
"&ccupssm;"				"&#x02A50;",
"&Cedilla;"				"&#x000B8;",
"&cemptyv;"				"&#x029B2;",
"&centerdot;"				"&#x000B7;",
"&CenterDot;"				"&#x000B7;",
"&cfr;"				"&#x1D520;",
"&Cfr;"				"&#x0212D;",
"&check;"				"&#x02713;",
"&checkmark;"				"&#x02713;",
"&circeq;"				"&#x02257;",
"&circlearrowleft;"				"&#x021BA;",
"&circlearrowright;"				"&#x021BB;",
"&circledast;"				"&#x0229B;",
"&circledcirc;"				"&#x0229A;",
